cellI,x,y,z,V
0,0.00025,0.00025,0.001,5e-10
1,0.00075,0.00025,0.001,5e-10
2,0.00125,0.00025,0.001,5e-10
3,0.00175,0.00025,0.001,5e-10
4,0.00225,0.00025,0.001,5e-10
5,0.00275,0.00025,0.001,5e-10
6,0.00325,0.00025,0.001,5e-10
7,0.00375,0.00025,0.001,5e-10
8,0.00425,0.00025,0.001,5e-10
9,0.00475,0.00025,0.001,5e-10
10,0.00525,0.00025,0.001,5e-10
11,0.00575,0.00025,0.001,5e-10
12,0.00625,0.00025,0.001,5e-10
13,0.00675,0.00025,0.001,5e-10
14,0.00725,0.00025,0.001,5e-10
15,0.00775,0.00025,0.001,5e-10
16,0.00825,0.00025,0.001,5e-10
17,0.00875,0.00025,0.001,5e-10
18,0.00925,0.00025,0.001,5e-10
19,0.00975,0.00025,0.001,5e-10
20,0.01025,0.00025,0.001,5e-10
21,0.01075,0.00025,0.001,5e-10
22,0.01125,0.00025,0.001,5e-10
23,0.01175,0.00025,0.001,5e-10
24,0.01225,0.00025,0.001,5e-10
25,0.01275,0.00025,0.001,5e-10
26,0.01325,0.00025,0.001,5e-10
27,0.01375,0.00025,0.001,5e-10
28,0.01425,0.00025,0.001,5e-10
29,0.01475,0.00025,0.001,5e-10
30,0.01525,0.00025,0.001,5e-10
31,0.01575,0.00025,0.001,5e-10
32,0.01625,0.00025,0.001,5e-10
33,0.01675,0.00025,0.001,5e-10
34,0.01725,0.00025,0.001,5e-10
35,0.01775,0.00025,0.001,5e-10
36,0.01825,0.00025,0.001,5e-10
37,0.01875,0.00025,0.001,5e-10
38,0.01925,0.00025,0.001,5e-10
39,0.01975,0.00025,0.001,5e-10
40,0.02025,0.00025,0.001,5e-10
41,0.02075,0.00025,0.001,5e-10
42,0.02125,0.00025,0.001,5e-10
43,0.02175,0.00025,0.001,5e-10
44,0.02225,0.00025,0.001,5e-10
45,0.02275,0.00025,0.001,5e-10
46,0.02325,0.00025,0.001,5e-10
47,0.02375,0.00025,0.001,5e-10
48,0.02425,0.00025,0.001,5e-10
49,0.02475,0.00025,0.001,5e-10
50,0.02525,0.00025,0.001,5e-10
51,0.02575,0.00025,0.001,5e-10
52,0.02625,0.00025,0.001,5e-10
53,0.02675,0.00025,0.001,5e-10
54,0.02725,0.00025,0.001,5e-10
55,0.02775,0.00025,0.001,5e-10
56,0.02825,0.00025,0.001,5e-10
57,0.02875,0.00025,0.001,5e-10
58,0.02925,0.00025,0.001,5e-10
59,0.02975,0.00025,0.001,5e-10
60,0.03025,0.00025,0.001,5e-10
61,0.03075,0.00025,0.001,5e-10
